None,0,
Space,1,44
Enter,2,40
Tab,3,43
Backquote,4,53
Quote,5,52
Semicolon,6,51
Comma,7,54
Period,8,55
Slash,9,56
Backslash,10,49
LeftBracket,11,47
RightBracket,12,48
Minus,13,45
Equals,14,46
A,15,4
B,16,5
C,17,6
D,18,7
E,19,8
F,20,9
G,21,10
H,22,11
I,23,12
J,24,13
K,25,14
L,26,15
M,27,16
N,28,17
O,29,18
P,30,19
Q,31,20
R,32,21
S,33,22
T,34,23
U,35,24
V,36,25
W,37,26
X,38,27
Y,39,28
Z,40,29
Digit1,41,30
Digit2,42,31
Digit3,43,32
Digit4,44,33
Digit5,45,34
Digit6,46,35
Digit7,47,36
Digit8,48,37
Digit9,49,38
Digit0,50,39
LeftShift,51,225
RightShift,52,229
LeftAlt,53,226
RightAlt,54,230
AltGr,54,
LeftCtrl,55,224
RightCtrl,56,228
LeftMeta,57,227
LeftWindows,57,
LeftApple,57,
LeftCommand,57,
RightMeta,58,231
RightWindows,58,
RightApple,58,
RightCommand,58,
ContextMenu,59,
Escape,60,41
LeftArrow,61,80
RightArrow,62,79
UpArrow,63,81
DownArrow,64,82
Backspace,65,42
PageDown,66,78
PageUp,67,75
Home,68,74
End,69,77
Insert,70,73
Delete,71,76
CapsLock,72,57
NumLock,73,83
PrintScreen,74,70
ScrollLock,75,71
Pause,76,72
NumpadEnter,77,88
NumpadDivide,78,84
NumpadMultiply,79,85
NumpadPlus,80,87
NumpadMinus,81,86
NumpadPeriod,82,99
NumpadEquals,83,103
Numpad0,84,98
Numpad1,85,89
Numpad2,86,90
Numpad3,87,91
Numpad4,88,92
Numpad5,89,93
Numpad6,90,94
Numpad7,91,95
Numpad8,92,96
Numpad9,93,97
F1,94,58
F2,95,59
F3,96,60
F4,97,61
F5,98,62
F6,99,63
F7,100,64
F8,101,65
F9,102,66
F10,103,67
F11,104,68
F12,105,69
OEM1,106,
OEM2,107,135
OEM3,108,
OEM4,109,
OEM5,110,
